Commit,Date,Test,Checks,Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev),GFLOP/s (mean),GFLOP/s (median),GFLOP/s (min),GFLOP/s (max),GFLOP/s (stddev)
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,axpy_1_cols_2_channels_2048_tile_2048_3.0,5/5,0.06749812,0.0689403,0.0441857,0.100387,0.020480254992592255,185.8,166.0,114.0,259.0,54.99963636243425,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,axpy_2_cols_2_channels_2048_tile_1024_3.0,5/5,0.05786962,0.0669245,0.0425431,0.0689403,0.011944663862729665,207.4,171.0,166.0,269.0,46.74441143067265,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,axpy_4_cols_2_channels_2048_tile_512_3.0,5/5,0.06500958,0.0669245,0.0583882,0.0710813,0.005214063358801847,177.2,171.0,161.0,196.0,14.510685717773644,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,axpy_8_cols_2_channels_2048_tile_256_3.0,5/5,0.06654888,0.0661508,0.0586877,0.077851,0.006615508048033803,173.6,173.0,147.0,195.0,16.511813952440235,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,dequant_1_cols_1_channels_2048_tile_2048,5/5,0.02767732,0.0277703,0.0208871,0.0328026,0.003906495571429719,180.6,176.0,149.0,234.0,28.695644268773613,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,dequant_1_cols_2_channels_2048_tile_1024,5/5,0.02938906,0.031945,0.0197878,0.0370271,0.00619320063992763,175.0,153.0,132.0,247.0,41.81387329583329,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,dequant_2_cols_1_channels_2048_tile_1024,5/5,0.0341464,0.0351625,0.0246848,0.039416,0.0054042477082384,147.4,139.0,124.0,198.0,27.17793222450891,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,dequant_2_cols_2_channels_2048_tile_512,5/5,0.02807642,0.0284162,0.0248101,0.0309341,0.002221486386543928,175.2,172.0,158.0,197.0,14.161920773680384,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,dequant_4_cols_1_channels_2048_tile_512,5/5,0.03226328,0.0307395,0.0284162,0.0397364,0.004005952159175144,153.6,159.0,123.0,172.0,17.0598944897089,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,dequant_4_cols_2_channels_2048_tile_256,5/5,0.0262865,0.0265629,0.0240768,0.0296217,0.002014317900431807,187.0,184.0,165.0,203.0,13.92838827718412,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,dequant_8_cols_1_channels_2048_tile_256,5/5,0.030372820000000002,0.0323681,0.0245607,0.0370271,0.004741682242580158,165.0,151.0,132.0,199.0,26.267851073127396,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,dequant_8_cols_2_channels_2048_tile_128,5/5,0.02615616,0.0268548,0.0221158,0.0294433,0.002984857007362329,189.4,182.0,166.0,221.0,22.28542124349459,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,eltwise_add_1_cols_2_channels_2048_tile_2048,5/5,0.06491648,0.0599167,0.0537281,0.0811638,0.010145427233074019,180.4,191.0,141.0,213.0,26.439364591457185,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,eltwise_add_2_cols_2_channels_2048_tile_1024,5/5,0.07474032,0.0681196,0.0611984,0.0922911,0.012373884513345031,157.2,168.0,124.0,187.0,24.733782565551916,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,eltwise_add_4_cols_2_channels_2048_tile_512,5/5,0.07368998,0.0706425,0.063227,0.0873595,0.009790510119784362,158.0,162.0,131.0,181.0,20.36663938896155,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,eltwise_add_8_cols_2_channels_2048_tile_256,5/5,0.05143428,0.0544957,0.0349972,0.0681196,0.012505538801251227,237.2,210.0,168.0,327.0,61.179735207011156,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,eltwise_mul_1_cols_2_channels_2048_tile_2048,5/5,0.07047761999999999,0.0728923,0.0586877,0.076806,0.006216337839403517,163.8,157.0,149.0,195.0,16.14187101918486,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,eltwise_mul_2_cols_2_channels_2048_tile_1024,5/5,0.06865156,0.074798,0.0428618,0.0835335,0.014078834290465955,176.2,153.0,137.0,267.0,46.92717762661633,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,eltwise_mul_4_cols_2_channels_2048_tile_512,5/5,0.06836468,0.074798,0.0447035,0.0922911,0.018739298980954437,182.0,153.0,124.0,256.0,53.79591062525106,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,eltwise_mul_8_cols_2_channels_2048_tile_256,5/5,0.05759632,0.0605508,0.0478832,0.0611984,0.0049963670987628606,200.4,189.0,187.0,239.0,19.673332203772702,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,gelu_1_cols_1_channels_2048_tile_2048,5/5,0.058955,0.0568889,0.0476279,0.0718596,0.008432053036835098,141.8,144.0,114.0,172.0,20.063897926375123,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,gelu_1_cols_2_channels_2048_tile_1024,5/5,0.05172812,0.0542517,0.032768,0.0650159,0.01170363185535157,168.4,151.0,126.0,250.0,45.160159432845234,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,gelu_2_cols_1_channels_2048_tile_1024,5/5,0.05810584,0.0589353,0.0496485,0.065536,0.0052860288397245814,142.2,139.0,125.0,165.0,13.422369388450013,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,gelu_2_cols_2_channels_2048_tile_512,5/5,0.0572941,0.0585143,0.0542517,0.0593623,0.0022206084715680973,143.2,140.0,138.0,151.0,5.635601121442148,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,gelu_4_cols_1_channels_2048_tile_512,5/5,0.04717624,0.0505679,0.032,0.0549799,0.00802168892057028,180.2,162.0,149.0,256.0,38.79896905846855,,,,,
