Commit,Date,Test,Checks,Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev),GFLOP/s (mean),GFLOP/s (median),GFLOP/s (min),GFLOP/s (max),GFLOP/s (stddev)
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,silu_2_cols_1_channels_4096_tile_2048,5/5,0.09737076,0.0971897,0.0794729,0.108991,0.01019000443034251,158.6,157.0,140.0,192.0,18.161497735594388,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,silu_2_cols_1_channels_8192_tile_4096,5/5,0.2194936,0.216437,0.194379,0.26537,0.025611548509217475,140.8,141.0,115.0,157.0,15.184202316881846,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,silu_4_cols_1_channels_1024_tile_256,5/5,0.02588686,0.0259503,0.0252629,0.026491,0.0004237163702289539,147.4,147.0,144.0,151.0,2.4166091947189146,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,silu_4_cols_1_channels_2048_tile_512,5/5,0.05125664,0.055689,0.0405819,0.0569358,0.006331900300099491,151.4,137.0,134.0,188.0,20.732583051805193,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,silu_4_cols_1_channels_4096_tile_1024,5/5,0.10655669999999999,0.112197,0.0838395,0.114728,0.011510498197732366,145.2,136.0,133.0,182.0,18.540765895722863,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,silu_4_cols_1_channels_8192_tile_2048,5/5,0.2030154,0.199461,0.18274,0.219551,0.013526537244986236,151.0,153.0,139.0,167.0,10.198039027185569,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,silu_8_cols_1_channels_1024_tile_128,5/5,0.023574420000000002,0.0238419,0.0188846,0.0284679,0.0033575820462946244,165.2,160.0,134.0,202.0,23.94493683432888,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,silu_8_cols_1_channels_2048_tile_256,5/5,0.04969348,0.0505258,0.0438471,0.0526165,0.0031687969505160784,154.2,151.0,145.0,174.0,10.533755265810955,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,silu_8_cols_1_channels_4096_tile_512,5/5,0.10578963999999999,0.100387,0.0953674,0.117375,0.009593894970782196,145.4,152.0,130.0,160.0,12.831211945876351,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,silu_8_cols_1_channels_8192_tile_1024,5/5,0.1806308,0.194379,0.135634,0.219551,0.030936802733314245,174.4,157.0,139.0,225.0,32.03498088028148,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,softmax_1_cols_2_channels_4096_tile_2048,5/5,0.1378114,0.137881,0.13079,0.147666,0.006059140123812947,166.4,166.0,155.0,175.0,7.2,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,softmax_2_cols_2_channels_4096_tile_1024,5/5,0.1179022,0.11798,0.105964,0.127867,0.007810865365630111,195.0,194.0,179.0,216.0,13.175735273600482,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,softmax_2_cols_2_channels_4096_tile_512,5/5,0.1347278,0.137055,0.11798,0.152588,0.011804377703208245,171.2,167.0,150.0,194.0,15.065191668213185,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,swiglu,5/5,,,,,,,,,,,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,tanh_1_cols_1_channels_1024_tile_1024,5/5,0.02197974,0.0250967,0.0150185,0.0278445,0.005306534501009109,185.4,152.0,137.0,254.0,49.24063362711735,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,tanh_1_cols_1_channels_2048_tile_2048,5/5,0.0551147,0.0548877,0.0489064,0.0610352,0.00504811281648895,139.6,139.0,125.0,156.0,12.815615474880635,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,tanh_1_cols_1_channels_4096_tile_4096,5/5,0.10332422000000001,0.1031,0.0807343,0.121102,0.013914277813009199,150.6,148.0,126.0,189.0,21.86869909253863,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,tanh_2_cols_1_channels_1024_tile_512,5/5,0.02721802,0.0272478,0.0249327,0.0307637,0.0021441212534742534,141.0,140.0,124.0,153.0,10.770329614269007,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,tanh_2_cols_1_channels_2048_tile_1024,5/5,0.05204225999999999,0.0519006,0.0443569,0.0615274,0.005502225462337945,148.2,147.0,124.0,172.0,15.249918032566601,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,tanh_2_cols_1_channels_4096_tile_2048,5/5,0.10414722000000001,0.101052,0.0941901,0.124055,0.010283617761935728,147.8,151.0,123.0,162.0,13.075167302944921,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,tanh_2_cols_1_channels_8192_tile_4096,5/5,0.1900644,0.196888,0.126106,0.24611,0.03919851681683887,168.6,155.0,124.0,242.0,39.91290518115663,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,tanh_4_cols_1_channels_1024_tile_256,5/5,0.023121919999999997,0.0229801,0.0171833,0.0268641,0.003330529726274786,169.0,166.0,142.0,222.0,28.128277586798664,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,tanh_4_cols_1_channels_2048_tile_512,5/5,0.04988348,0.0498653,0.0405819,0.0615274,0.006886625579309509,155.8,153.0,124.0,188.0,20.913153755471697,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,tanh_4_cols_1_channels_4096_tile_1024,5/5,0.10770588,0.113028,0.0803094,0.12207,0.015721463567289144,145.2,135.0,125.0,190.0,24.33433787880821,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,tanh_4_cols_1_channels_8192_tile_2048,5/5,0.1868018,0.186083,0.158946,0.222756,0.02293894337060886,165.8,164.0,137.0,192.0,19.893717601293126,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,tanh_8_cols_1_channels_1024_tile_128,5/5,0.02300818,0.0225722,0.0171063,0.028257,0.004395943164964716,172.2,169.0,135.0,223.0,33.79585773434372,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,tanh_8_cols_1_channels_2048_tile_256,5/5,0.051401739999999994,0.0479836,0.0431039,0.0652085,0.008620459917336199,152.4,159.0,117.0,177.0,23.812601705819546,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,tanh_8_cols_1_channels_4096_tile_512,5/5,0.0951231,0.0803094,0.0448788,0.138716,0.036269556923237974,190.4,190.0,110.0,340.0,83.55740541687494,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,tanh_8_cols_1_channels_8192_tile_1024,5/5,0.19492099999999998,0.18838,0.161469,0.23657,0.024601429039793603,159.0,162.0,129.0,189.0,19.483326204732087,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,transpose_2048_M_128_N_1_cols_1_channels_64_m_64_n_8_s,5/5,4.897632,4.90735,4.3792,5.27872,0.343266392727281,200.4,199.0,185.0,223.0,14.361058456812994,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,transpose_2048_M_128_N_1_cols_2_channels_64_m_64_n_8_s,5/5,5.0151699999999995,4.85852,4.47964,5.67769,0.5208639881581371,196.8,201.0,172.0,218.0,20.033971149025845,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,transpose_2048_M_128_N_2_cols_1_channels_64_m_64_n_8_s,5/5,5.2229399999999995,5.42535,4.06901,5.67769,0.5842840804266365,189.8,180.0,172.0,240.0,25.26974475533934,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,transpose_2048_M_128_N_2_cols_2_channels_64_m_64_n_8_s,5/5,4.851294,5.3074,3.1002,5.64487,0.9300775340712193,211.4,184.0,173.0,315.0,53.09086550434077,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,transpose_2048_M_256_N_1_cols_1_channels_64_m_64_n_8_s,5/5,7.319464000000001,7.71986,5.90068,8.31117,0.8737731507571059,271.0,253.0,235.0,331.0,34.9857113690718,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,transpose_2048_M_256_N_1_cols_2_channels_64_m_64_n_8_s,5/5,6.612474000000001,6.66596,5.53293,8.03755,0.8562838443086496,300.2,293.0,243.0,353.0,37.57871738098574,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,transpose_2048_M_256_N_2_cols_1_channels_64_m_64_n_8_s,5/5,8.617308,8.68056,8.07076,9.25652,0.4246061839116335,227.2,225.0,211.0,242.0,11.142710621747296,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,transpose_2048_M_256_N_2_cols_2_channels_64_m_64_n_8_s,5/5,8.523259999999999,9.43539,6.66596,9.86427,1.362145350526147,235.6,207.0,198.0,293.0,40.39108812597155,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,transpose_2048_M_256_N_4_cols_1_channels_64_m_64_n_8_s,5/5,9.75592,9.8147,8.64215,11.1607,0.878530485868305,201.8,199.0,175.0,226.0,17.837040113202637,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,transpose_2048_M_256_N_4_cols_2_channels_64_m_64_n_8_s,5/5,9.433468,9.62131,8.38251,10.1725,0.6269979149056237,208.0,203.0,192.0,233.0,14.436065946094871,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,transpose_2048_M_512_N_1_cols_1_channels_64_m_64_n_8_s,5/5,11.498336,11.6604,9.19118,12.8074,1.2313657748955023,344.2,335.0,305.0,425.0,41.95902763410992,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,transpose_2048_M_512_N_1_cols_2_channels_64_m_64_n_8_s,5/5,12.77748,12.8919,12.3616,12.9346,0.21200091886593336,305.8,303.0,302.0,316.0,5.192301994298868,,,,,
adc7cf776068326abb8a4b60f9c3198731193aab,2025-11-21 18:58:13,transpose_2048_M_512_N_2_cols_1_channels_64_m_64_n_8_s,5/5,12.383619999999999,12.7239,10.389,13.4698,1.0562159370128819,318.0,307.0,290.0,376.0,30.113120064184645,,,,,
