Commit,Date,Test,Checks,Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Throughput (mean),Throughput (median),Throughput (min),Throughput (max),Throughput (stddev),Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev)
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_2-tile_size_1024-scalar_factor_3.0,5/5,0.041429574000000004,0.04173729,0.02625585,0.0638696,0.014213165365935554,,,,,,323.65999999999997,294.4,192.4,468.0,103.18269234711798
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_4-num_channels_1-tile_size_512,30/30,0.0214781067,0.019651155,0.003389725,0.04082772,0.009373238106636891,,,,,,509.59,416.95000000000005,200.6,2416.7,418.2522348601585
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_4-num_channels_1-tile_size_512-group_size_32,5/5,0.015023042,0.01233633,0.01003398,0.02127073,0.005152066847370093,,,,,,382.24,425.4,246.7,523.0,121.27779269099517
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_4-num_channels_1-tile_size_512-weighted_False,5/5,0.022363096,0.01772282,0.0130966,0.03739239,0.009996748720300515,,,,,,422.84,462.2,219.1,625.5,163.87482417992095
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_4-num_channels_1-tile_size_512-weighted_True,5/5,0.021853,0.02109156,0.01830616,0.02816669,0.0037964855484974532,,,,,,430.86,437.0,327.2,503.4,66.22498018119748
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_4-num_channels_2-tile_size_256,25/25,0.0200947316,0.01720885,0.01189203,0.03192493,0.007125666491721248,,,,,,455.084,476.0,256.6,688.9,143.64611225740384
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_4-num_channels_2-tile_size_256-group_size_32,5/5,0.014509452,0.0130594,0.01027851,0.0195438,0.0037329093569989083,,,,,,381.08,401.9,268.5,510.6,95.74456642546355
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_4-num_channels_2-tile_size_256-weighted_False,5/5,0.018767029,0.01682253,0.009841245,0.02632264,0.006665365310934203,,,,,,492.9,487.0,311.2,832.4,207.9963220828676
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_4-tile_size_512,10/10,0.033893318,0.030417629999999998,0.01908131,0.05788854,0.012778184243865533,,,,,,408.91,405.1,212.3,644.0,143.50406459593944
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_aie_columns_4-tile_size_512-scalar_factor_3.0,5/5,0.044792598,0.0439083,0.02675061,0.06714974,0.014472022197325084,,,,,,298.74,279.9,183.0,459.4,100.19143176938833
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_cores_1-num_channels_1-bypass_False-tile_size_2048,5/5,0.027864012,0.02925432,0.01746166,0.03551024,0.006637896106747226,,,,,,311.22,280.0,230.7,469.1,92.37086661929725
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_cores_2-num_channels_1-bypass_False-tile_size_1024,5/5,0.024795131999999998,0.02332242,0.01586487,0.03369017,0.008034150695933578,,,,,,360.58,351.2,243.2,516.4,118.51561922379682
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_cores_2-num_channels_2-bypass_False-tile_size_1024,5/5,0.030439302,0.03320982,0.01682291,0.03842744,0.008390129633335233,,,,,,293.24,246.7,213.2,487.0,111.51180654979993
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_cores_4-num_channels_1-bypass_False-tile_size_512,5/5,0.024314892,0.02866661,0.014856,0.03299408,0.008618754319573683,,,,,,379.7,285.8,248.3,551.4,151.53262025055858
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_cores_4-num_channels_2-bypass_False-tile_size_512,5/5,0.0201967948,0.01951271,0.003336094,0.03623737,0.011717951395983224,,,,,,777.8,419.8,226.1,2455.6,941.3665147008363
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_2048-num_cores_8-num_channels_2-bypass_False-tile_size_256,5/5,0.020759264,0.01772665,0.01509542,0.02855559,0.006331683969145175,,,,,,423.46000000000004,462.1,286.9,542.7,118.86054013001961
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_32768-num_aie_columns_2-num_channels_2-tile_size_1024,5/5,0.37457538,0.3788099,0.2898476,0.4788281,0.0844284322616321,,,,,,364.74,346.0,273.7,452.2,82.85564555297364
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_32768-num_aie_columns_2-num_channels_2-tile_size_2048,5/5,0.34122318,0.330276,0.2616719,0.4224954,0.07863245564232367,,,,,,400.94,396.9,310.2,500.9,91.7751763822876
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,input_length_32768-num_aie_columns_2-num_channels_2-tile_size_512,5/5,0.3160253,0.260448,0.19778,0.4936259,0.13170535423239255,,,,,,472.84000000000003,503.3,265.5,662.7,177.34279799303948
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,rows_32-cols_512-angle_rows_32-aie_columns_1-method_type_0,5/5,0.2957953,0.3226753,0.1153624,0.4089134,0.10859026648399478,,,,,,404.04,304.7,240.4,852.1,252.38892210237756
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,rows_32-cols_512-angle_rows_32-aie_columns_2-method_type_0,5/5,0.30543976,0.3200021,0.2043428,0.355517,0.0584497981729022,,,,,,334.48,307.2,276.5,481.1,82.97576152106109
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,rows_32-cols_512-angle_rows_32-aie_columns_4-method_type_0,5/5,0.28012158,0.2278868,0.2057525,0.4469318,0.10145796203734825,,,,,,382.02,431.4,220.0,477.8,109.14601229545677
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,rows_32-cols_512-angle_rows_8-aie_columns_1-method_type_0,5/5,0.185098348,0.2473181,0.03982884,0.2674619,0.10145112905030934,,,,,,669.22,298.1,275.7,1851.1,677.2269390684337
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,rows_32-cols_512-angle_rows_8-aie_columns_2-method_type_0,5/5,0.25247284,0.263658,0.1214507,0.3246113,0.08032050050384397,,,,,,331.02,279.6,227.1,607.1,157.3473450681644
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,rows_32-cols_512-angle_rows_8-aie_columns_4-method_type_0,5/5,0.153800176,0.134496,0.06937878,0.2528759,0.07295359653468689,,,,,,586.12,548.2,291.6,1062.7,303.58294912593493
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:22:14,seq_len_256-embedding_dim_2048-hidden_dim_2048-prio_accuracy_False,5/5,0.08798,0.075,0.0725,0.1376,0.027941939803814625,,,,,,25291.8,27963.05,15239.81,28936.09,5744.12625074519
